Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Cytokine-cytokine receptor interaction	2/292	6.048617e-01	7.100200e-01	0	0	9.852001e-01	4.953148e-01	CNTFR;RELT
KEGG_2019_Mouse	MAPK signaling pathway	2/294	6.085885e-01	7.100200e-01	0	0	9.783522e-01	4.858623e-01	MRAS;EPHA2
KEGG_2019_Mouse	Measles	1/144	6.350197e-01	7.344141e-01	0	0	9.991892e-01	4.537310e-01	STAT5A
KEGG_2019_Mouse	Retrograde endocannabinoid signaling	1/150	6.500858e-01	7.453570e-01	0	0	9.586616e-01	4.128485e-01	ADCY2
KEGG_2019_Mouse	mTOR signaling pathway	1/154	6.597851e-01	7.500122e-01	0	0	9.334091e-01	3.881498e-01	FZD7
KEGG_2019_Mouse	Hepatitis C	1/160	6.738358e-01	7.594929e-01	0	0	8.979127e-01	3.544679e-01	RSAD2
KEGG_2019_Mouse	Protein processing in endoplasmic reticulum	1/163	6.806436e-01	7.602739e-01	0	0	8.811505e-01	3.389931e-01	PPP1R15A
KEGG_2019_Mouse	RNA transport	1/167	6.895016e-01	7.602739e-01	0	0	8.597433e-01	3.196407e-01	NUP188
KEGG_2019_Mouse	Influenza A	1/168	6.916778e-01	7.602739e-01	0	0	8.545518e-01	3.150178e-01	RSAD2
KEGG_2019_Mouse	Neuroactive ligand-receptor interaction	2/348	6.993231e-01	7.623768e-01	0	0	8.233830e-01	2.944767e-01	P2RY1;ADRA1A
KEGG_2019_Mouse	Chemokine signaling pathway	1/197	7.486041e-01	8.067104e-01	0	0	7.270408e-01	2.105110e-01	ADCY2
KEGG_2019_Mouse	Alcoholism	1/199	7.521210e-01	8.067104e-01	0	0	7.196238e-01	2.049906e-01	HDAC9
KEGG_2019_Mouse	NOD-like receptor signaling pathway	1/205	7.623811e-01	8.111735e-01	0	0	6.982452e-01	1.894400e-01	GABARAPL1
KEGG_2019_Mouse	Kaposi sarcoma-associated herpesvirus infection	1/216	7.801084e-01	8.185818e-01	0	0	6.621503e-01	1.644268e-01	GABARAPL1
KEGG_2019_Mouse	Regulation of actin cytoskeleton	1/217	7.816533e-01	8.185818e-01	0	0	6.590513e-01	1.623533e-01	MRAS
KEGG_2019_Mouse	Human cytomegalovirus infection	1/255	8.330165e-01	8.655562e-01	0	0	5.593689e-01	1.021978e-01	ADCY2
KEGG_2019_Mouse	Endocytosis	1/269	8.487463e-01	8.750640e-01	0	0	5.297696e-01	8.687954e-02	SMAD3
KEGG_2019_Mouse	PI3K-Akt signaling pathway	1/357	9.189184e-01	9.346829e-01	0	0	3.970241e-01	3.357156e-02	EPHA2
KEGG_2019_Mouse	Human papillomavirus infection	1/360	9.206275e-01	9.346829e-01	0	0	3.936458e-01	3.255440e-02	FZD7
KEGG_2019_Mouse	Herpes simplex virus 1 infection	1/433	9.527843e-01	9.600024e-01	0	0	3.259024e-01	1.576284e-02	ZFP869
KEGG_2019_Mouse	Olfactory transduction	2/1133	9.972397e-01	9.972397e-01	0	0	2.417601e-01	6.682505e-04	CAMK2D;PDE2A
